Address,City,State,Zip,Date_Incident,Jurisdiction,Incident_Tract,Zone,UCR_Incident_Code,Incident_Description,Incident_Type,Case_Number,Case_Status,Case_Status_Description,Latitude,Longitude,Location,citydst
2200 Crutchfield ST,Chattanooga,TN,37406-,11/08/2015 03:00:00 AM,TN0330100,B2,Baker N,220,Burglary/Breaking And Entering,Part 1 Crimes,15-112578,4,Inactive/Suspended,35.063972043712276,-85.25502076142394,POINT (-85.255020761424 35.063972043712),8
4000 HOOKER RD,Chattanooga,TN,37410-,11/08/2015 02:28:00 AM,TN0330100,A12,Adam S,23D,Theft From Buildings,Part 1 Crimes,15-112542,2,Cleared by Arrest,35.00525567032703,-85.31373522041424,POINT (-85.313735220414 35.005255670327),7
4100 13TH AVE,Chattanooga,TN,37407-,11/08/2015 01:00:00 AM,TN0330100,B9,Baker S,23F,Theft From Motor Vehicle,Part 1 Crimes,15-112909,4,Inactive/Suspended,34.99470512800743,-85.28245372300059,POINT (-85.282453723001 34.994705128007),7
5700 LEE HWY.,Chattanooga,TN,37411-,11/08/2015 12:30:00 AM,TN0330100,C4,Charlie S,23D,Theft From Buildings,Part 1 Crimes,15-112941,4,Inactive/Suspended,35.0190223722484,-85.20449239383275,POINT (-85.204492393833 35.019022372248),5
1700 READ AVE.,Chattanooga,TN,37408-,11/08/2015 12:00:00 AM,TN0330100,A10,Adam S,23F,Theft From Motor Vehicle,Part 1 Crimes,15-112597,4,Inactive/Suspended,35.03367514419573,-85.30599974101523,POINT (-85.305999741015 35.033675144196),7
400 GREENWAY VIEW DR,Chattanooga,TN,37411-,11/07/2015 11:30:00 PM,TN0330100,C3,Charlie S,23C,Shoplifting,Part 1 Crimes,15-112503,2,Cleared by Arrest,35.00820207254217,-85.20734378287673,POINT (-85.207343782877 35.008202072542),6
4800 ENGLISH AVE,Chattanooga,TN,37407-,11/07/2015 10:00:00 PM,TN0330100,B9,Baker S,220,Burglary/Breaking And Entering,Part 1 Crimes,15-112617,4,Inactive/Suspended,34.98827257013418,-85.2887122617534,POINT (-85.288712261753 34.98827257013401),7
7000 SHALLOWFORD RD.,Chattanooga,TN,37421-,11/07/2015 10:00:00 PM,TN0330100,C9,Charlie N,23F,Theft From Motor Vehicle,Part 1 Crimes,15-112574,3,Pending/Possible Leads,35.044411061069475,-85.15876640309973,POINT (-85.1587664031 35.044411061069),6
7000 SHALLOWFORD RD.,Chattanooga,TN,37421-,11/07/2015 09:30:00 PM,TN0330100,C9,Charlie N,23F,Theft From Motor Vehicle,Part 1 Crimes,15-112568,3,Pending/Possible Leads,35.04379906106947,-85.15793040309974,POINT (-85.1579304031 35.043799061069),6
2000 Hamilton Place Blvd.,Chattanooga,TN,37421-,11/07/2015 09:07:00 PM,TN0330100,C7,Charlie N,23C,Shoplifting,Part 1 Crimes,15-112458,4,Inactive/Suspended,35.03464929008546,-85.16268517246901,POINT (-85.162685172469 35.034649290085),4
6200 Perimeter DR,Chattanooga,TN,37421-,11/07/2015 07:05:00 PM,TN0330100,C4,Charlie S,220,Burglary/Breaking And Entering,Part 1 Crimes,15-112911,3,Pending/Possible Leads,35.029008408609975,-85.18455242547634,POINT (-85.184552425476 35.02900840861),6
3000 Curtis ST,Chattanooga,TN,37406-,11/07/2015 06:30:00 PM,TN0330100,B2,Baker N,23F,Theft From Motor Vehicle,Part 1 Crimes,15-112681,4,Inactive/Suspended,35.07266382061735,-85.25144481612796,POINT (-85.251444816128 35.072663820617),8
400 GREENWAY VIEW DR.,Chattanooga,TN,37411-,11/07/2015 06:10:00 PM,TN0330100,C3,Charlie S,23C,Shoplifting,Part 1 Crimes,15-112404,2,Cleared by Arrest,35.00858907254217,-85.20603578287674,POINT (-85.206035782877 35.008589072542),6
600 TUCKER ST.,Chattanooga,TN,37402-,11/07/2015 06:00:00 PM,TN0330100,A4,Adam N,220,Burglary/Breaking And Entering,Part 1 Crimes,15-112815,3,Pending/Possible Leads,35.069226681336225,-85.30137729822587,POINT (-85.301377298226 35.069226681336),2
600 Commercial Ln.,Chattanooga,TN,37405-,11/07/2015 05:00:00 PM,TN0330100,A5,Adam N,23D,Theft From Buildings,Part 1 Crimes,15-116798,4,Inactive/Suspended,35.10214583667343,-85.32670767968034,POINT (-85.32670767968 35.102145836673),1
4900 Jeffrey LN.,Chattanooga,TN,37410-,11/07/2015 04:00:00 PM,TN0330100,A12,Adam S,23G,Theft Of Motor Vehicle Parts Or Accessories,Part 1 Crimes,15-112425,4,Inactive/Suspended,34.99088660178298,-85.3071182638097,POINT (-85.30711826381 34.990886601783),7
2100 Hamilton Place BLVD,Chattanooga,TN,37421,11/07/2015 03:31:00 PM,TN0330100,C7,Charlie N,23C,Shoplifting,Part 1 Crimes,15-112367,2,Cleared by Arrest,35.03488501870831,-85.16189256594798,POINT (-85.161892565948 35.034885018708),4
3200 Wilcox Blvd.,Chattanooga,TN,37411-,11/07/2015 03:15:00 PM,TN0330100,C1,Charlie S,23C,Shoplifting,Part 1 Crimes,15-112349,2,Cleared by Arrest,35.048799460645206,-85.24177083763176,POINT (-85.241770837632 35.048799460645),5
2000 VINE ST,Chattanooga,TN,37404-,11/07/2015 03:00:00 PM,TN0330100,B4,Baker N,240,Motor Vehicle Theft,Part 1 Crimes,15-112406,4,Inactive/Suspended,35.03686856054951,-85.27219608876456,POINT (-85.272196088765 35.03686856055),8
2100 Hamilton Place BLVD,Chattanooga,TN,37421,11/07/2015 12:20:00 PM,TN0330100,C7,Charlie N,23C,Shoplifting,Part 1 Crimes,15-112311,2,Cleared by Arrest,35.03534601870831,-85.16171756594797,POINT (-85.161717565948 35.035346018708),4
400 GREENWAY VIEW DR.,Chattanooga,TN,37411-,11/07/2015 11:00:00 AM,TN0330100,C3,Charlie S,23C,Shoplifting,Part 1 Crimes,15-112297,2,Cleared by Arrest,35.00857007254217,-85.20604678287674,POINT (-85.206046782877 35.008570072542),6
5500 HIGHWAY 153.,Hixson,TN,37343-,11/07/2015 10:40:00 AM,TN0330100,A1,Adam N,23H,All Other Larceny,Part 1 Crimes,15-112319,4,Inactive/Suspended,35.14711815454697,-85.24992126152094,POINT (-85.249921261521 35.147118154547),3
1200 Hendricks ST,CHATTANOOGA,TN,37406,11/07/2015 10:24:00 AM,TN0330100,B3,Baker N,240,Motor Vehicle Theft,Part 1 Crimes,15-112243,3,Pending/Possible Leads,35.05382704674359,-85.2704933517698,POINT (-85.27049335177 35.053827046744),8
1300 S LYERLY ST.,Chattanooga,TN,37404-,11/07/2015 10:00:00 AM,TN0330100,B5,Baker S,23F,Theft From Motor Vehicle,Part 1 Crimes,15-116467,4,Inactive/Suspended,35.02610887924467,-85.27271322325444,POINT (-85.272713223254 35.026108879245),8
500 SIGNAL MOUNTAIN RD,Chattanooga,TN,37415-,11/07/2015 09:50:00 AM,TN0330100,A5,Adam N,23D,Theft From Buildings,Part 1 Crimes,15-112268,4,Inactive/Suspended,35.09280475877361,-85.3301354393599,POINT (-85.33013543936002 35.092804758774),1
4200 QUINN ADAMS ST,Chattanooga,TN,37410-,11/07/2015 08:00:00 AM,TN0330100,A12,Adam S,23H,All Other Larceny,Part 1 Crimes,15-112420,4,Inactive/Suspended,35.00052160451654,-85.3097110619572,POINT (-85.309711061957 35.000521604517),7
7400 SHALLOWFORD RD.,Chattanooga,TN,37421-,11/07/2015 08:00:00 AM,TN0330100,C7,Charlie N,23D,Theft From Buildings,Part 1 Crimes,15-123235,4,Inactive/Suspended,35.03826527145681,-85.14724183787806,POINT (-85.147241837878 35.038265271457),4
500 HAMILTON AVE.,Chattanooga,TN,37405-,11/07/2015 07:30:00 AM,TN0330100,A4,Adam N,23G,Theft Of Motor Vehicle Parts Or Accessories,Part 1 Crimes,15-113033,4,Inactive/Suspended,35.06756330512245,-85.30889147523982,POINT (-85.30889147524002 35.067563305122),2
7700 SHALLOWFORD RD,Chattanooga,TN,37421-,11/07/2015 06:00:00 AM,TN0330100,C9,Charlie N,220,Burglary/Breaking And Entering,Part 1 Crimes,15-123086,4,Inactive/Suspended,35.0353638659153,-85.13923812496068,POINT (-85.139238124961 35.035363865915),4
00 S Germantown RD,Chattanooga,TN,37411,11/07/2015 03:00:00 AM,TN0330100,C2,Charlie S,240,Motor Vehicle Theft,Part 1 Crimes,15-112228,4,Inactive/Suspended,35.02130630720455,-85.24704822737549,POINT (-85.247048227375 35.021306307205),6
900 Mountain Creek RD.,Chattanooga,TN,37415-,11/07/2015 02:25:00 AM,TN0330100,A5,Adam N,23F,Theft From Motor Vehicle,Part 1 Crimes,15-112230,4,Inactive/Suspended,35.102071910340804,-85.3279737444564,POINT (-85.327973744456 35.102071910341),1
3400 WILCOX BLVD,Chattanooga,TN,37411-,11/07/2015 02:00:00 AM,TN0330100,C1,Charlie S,23C,Shoplifting,Part 1 Crimes,15-112178,4,Inactive/Suspended,35.04732374651028,-85.23755592226713,POINT (-85.237555922267 35.04732374651),5
1700 Vance Avenue,Chattanooga,TN,37404-,11/07/2015 12:15:00 AM,TN0330100,B5,Baker S,23F,Theft From Motor Vehicle,Part 1 Crimes,15-112393,4,Inactive/Suspended,35.03107216249248,-85.27971769354022,POINT (-85.27971769354 35.03107216249201),9
1400 JENKINS RD,Chattanooga,TN,37421-,11/06/2015 11:00:00 PM,TN0330100,C8,Charlie N,220,Burglary/Breaking And Entering,Part 1 Crimes,15-112280,4,Inactive/Suspended,35.01011161319824,-85.1521787649274,POINT (-85.15217876492702 35.010111613198),4
1600 JEFFERSON ST,Chattanooga,TN,37402-,11/06/2015 11:00:00 PM,TN0330100,A10,Adam S,220,Burglary/Breaking And Entering,Part 1 Crimes,15-112275,4,Inactive/Suspended,35.03189435578985,-85.30110031190127,POINT (-85.301100311901 35.03189435579),7
2100 E 23RD ST,Chattanooga,TN,37404-,11/06/2015 10:30:00 PM,TN0330100,B6,Baker S,23H,All Other Larceny,Part 1 Crimes,15-112122,4,Inactive/Suspended,35.01867499796694,-85.27988595009147,POINT (-85.279885950091 35.018674997967),8
500 Cranberry Way.,Chattanooga,TN,37415-,11/06/2015 09:30:00 PM,TN0330100,A3,Adam N,240,Motor Vehicle Theft,Part 1 Crimes,15-112115,3,Pending/Possible Leads,35.123827895663744,-85.26285622970198,POINT (-85.262856229702 35.123827895664),2
1900 TUSKEGEE BLVD,CHATTANOOGA,TN,37421,11/06/2015 09:30:00 PM,TN0330100,C4,Charlie S,240,Motor Vehicle Theft,Part 1 Crimes,15-112106,A,Cleared by Arrest Adult (One Incident),35.0415933327564,-85.18789482671238,POINT (-85.187894826712 35.041593332756),6
400 GREENWAY VIEW DR,Chattanooga,TN,37411-,11/06/2015 09:13:00 PM,TN0330100,C3,Charlie S,23C,Shoplifting,Part 1 Crimes,15-112096,4,Inactive/Suspended,35.00741307254217,-85.20616178287673,POINT (-85.206161782877 35.007413072542),6
2500 IVY ST.,Chattanooga,TN,37404-,11/06/2015 08:59:00 PM,TN0330100,B4,Baker N,23D,Theft From Buildings,Part 1 Crimes,15-112093,2,Cleared by Arrest,35.035109530120344,-85.26421724637422,POINT (-85.264217246374 35.03510953012),9
400 Greenway View Dr.,Chattanooga,TN,37411-,11/06/2015 07:43:00 PM,TN0330100,C3,Charlie S,23C,Shoplifting,Part 1 Crimes,15-112066,4,Inactive/Suspended,35.008340072542175,-85.20598178287673,POINT (-85.205981782877 35.008340072542),6
1200 POPLAR ST,Chattanooga,TN,37402-,11/06/2015 07:25:00 PM,TN0330100,A6,Adam S,23H,All Other Larceny,Part 1 Crimes,15-112057,4,Inactive/Suspended,35.042537040404476,-85.31572518153916,POINT (-85.315725181539 35.042537040404),7
2100 HUFF PL,Chattanooga,TN,37404-,11/06/2015 07:00:00 PM,TN0330100,B6,Baker S,23B,Purse Snatching,Part 1 Crimes,15-112063,3,Pending/Possible Leads,35.02157863210041,-85.28588479887196,POINT (-85.285884798872 35.0215786321),8
4500 LAKE HAVEN DR,Chattanooga,TN,37416-,11/06/2015 06:40:00 PM,TN0330100,C5,Charlie N,220,Burglary/Breaking And Entering,Part 1 Crimes,15-111911,4,Inactive/Suspended,35.089714795022246,-85.1997436745345,POINT (-85.199743674534 35.089714795022),3
3400 Brainerd RD,CHATTANOOGA,TN,37411,11/06/2015 06:38:00 PM,TN0330100,C2,Charlie S,23C,Shoplifting,Part 1 Crimes,15-112034,4,Inactive/Suspended,35.02555344341875,-85.2521344855819,POINT (-85.252134485582 35.025553443419),9
200 N SEMINOLE DR.,Chattanooga,TN,37411-,11/06/2015 06:00:00 PM,TN0330100,C2,Charlie S,220,Burglary/Breaking And Entering,Part 1 Crimes,15-112233,3,Pending/Possible Leads,35.03118657004573,-85.25425103329351,POINT (-85.254251033294 35.031186570046),9
200 BROAD STREET,CHATTANOOGA,TN,37403,11/06/2015 06:00:00 PM,TN0330100,A7,Adam S,23D,Theft From Buildings,Part 1 Crimes,15-112643,4,Inactive/Suspended,35.05419528477281,-85.31103539199623,POINT (-85.311035391996 35.054195284773),7
1900 Acer CIR,Chattanooga,TN,37406-,11/06/2015 06:00:00 PM,TN0330100,B2,Baker N,23D,Theft From Buildings,Part 1 Crimes,15-112592,4,Inactive/Suspended,35.057263483129866,-85.25256212724383,POINT (-85.252562127244 35.05726348313),9
7300 Valley Lane,Hixson,TN,37343-,11/06/2015 05:30:00 PM,TN0330100,A1,Adam N,23H,All Other Larceny,Part 1 Crimes,15-112030,4,Inactive/Suspended,,,,
2300 GREEN FOREST LN,Chattanooga,TN,37406-,11/06/2015 05:03:00 PM,TN0330100,C1,Charlie S,23H,All Other Larceny,Part 1 Crimes,15-111999,2,Cleared by Arrest,35.05758955875345,-85.23293294481509,POINT (-85.232932944815 35.057589558753),5
3200 WILCOX BLVD,Chattanooga,TN,37411-,11/06/2015 05:00:00 PM,TN0330100,C1,Charlie S,23C,Shoplifting,Part 1 Crimes,15-112364,2,Cleared by Arrest,35.04774646064521,-85.24210083763175,POINT (-85.242100837632 35.047746460645),9
7000 McCutcheon RD,Chattanooga,TN,37421,11/06/2015 04:00:00 PM,TN0330100,C9,Charlie N,23F,Theft From Motor Vehicle,Part 1 Crimes,15-112603,4,Inactive/Suspended,35.04636952814421,-85.15843045135118,POINT (-85.158430451351 35.046369528144),6
2300 SHALLOWFORD VILLAGE DR,Chattanooga,TN,37421-,11/06/2015 04:00:00 PM,TN0330100,C9,Charlie N,23G,Theft Of Motor Vehicle Parts Or Accessories,Part 1 Crimes,15-112033,4,Inactive/Suspended,35.04378744208432,-85.1561180597328,POINT (-85.156118059733 35.043787442084),6
2800 SILVERDALE RD,Chattanooga,TN,37421-,11/06/2015 02:30:00 PM,TN0330100,C9,Charlie N,220,Burglary/Breaking And Entering,Part 1 Crimes,15-112144,4,Inactive/Suspended,35.05789654348563,-85.13983458294973,POINT (-85.13983458295 35.057896543486),6
400 GREENWAY VIEW DR,chattanooga,TN,37411,11/06/2015 02:05:00 PM,TN0330100,C3,Charlie S,23C,Shoplifting,Part 1 Crimes,15-111918,2,Cleared by Arrest,35.00814807254217,-85.20604578287674,POINT (-85.206045782877 35.008148072542),6
5000 N MOORE LN,Chattanooga,TN,37411-,11/06/2015 02:00:00 PM,TN0330100,C3,Charlie S,220,Burglary/Breaking And Entering,Part 1 Crimes,15-112067,4,Inactive/Suspended,35.025071215682885,-85.21946192980275,POINT (-85.219461929803 35.025071215683),5
5500 Brainerd RD,Chattanooga,TN,37411,11/06/2015 01:43:00 PM,TN0330100,C3,Charlie S,23H,All Other Larceny,Part 1 Crimes,15-111905,4,Inactive/Suspended,35.01014205473442,-85.22045232181314,POINT (-85.220452321813 35.010142054734),5
5800 PATRICK PL.,Chattanooga,TN,37421-,11/06/2015 01:30:00 PM,TN0330100,C4,Charlie S,220,Burglary/Breaking And Entering,Part 1 Crimes,15-111996,3,Pending/Possible Leads,35.04198925775471,-85.19389464476204,POINT (-85.193894644762 35.041989257755),6
3500 CUMMINGS HWY.,CHATTANOOGA,TN,37411,11/06/2015 01:25:00 PM,TN0330100,A13,Adam S,23C,Shoplifting,Part 1 Crimes,15-113993,3,Pending/Possible Leads,35.01928584883228,-85.37354823593002,POINT (-85.37354823593 35.019285848832),1
4400 Rossville Blvd.,Chattanooga,TN,37407-,11/06/2015 12:16:00 PM,TN0330100,B9,Baker S,240,Motor Vehicle Theft,Part 1 Crimes,15-111881,4,Inactive/Suspended,34.99306845156335,-85.29065390530388,POINT (-85.290653905304 34.993068451563),7
700 E 11TH ST,Chattanooga,TN,37402-,11/06/2015 12:00:00 PM,TN0330100,A9,Adam S,23H,All Other Larceny,Part 1 Crimes,15-112713,4,Inactive/Suspended,35.039798180665834,-85.29986205919438,POINT (-85.299862059194 35.039798180666),8
3200 ROSSVILLE BLVD.,Chattanooga,TN,37407-,11/06/2015 11:49:00 AM,TN0330100,B7,Baker S,23C,Shoplifting,Part 1 Crimes,15-111869,2,Cleared by Arrest,35.006796645085984,-85.29319089550945,POINT (-85.293190895509 35.006796645086),7
2400 WESTSIDE DR.,Chattanooga,TN,37404-,11/06/2015 10:00:00 AM,TN0330100,B6,Baker S,23D,Theft From Buildings,Part 1 Crimes,15-111841,2,Cleared by Arrest,35.0129238939698,-85.27131059511295,POINT (-85.271310595113 35.01292389397),9
4100 14TH AVE,Chattanooga,TN,37407-,11/06/2015 09:00:00 AM,TN0330100,B9,Baker S,23D,Theft From Buildings,Part 1 Crimes,15-112124,4,Inactive/Suspended,34.9949130320596,-85.28120981671279,POINT (-85.281209816713 34.99491303206),7
700 E 8th St.,Chattanooga,TN,37403-,11/06/2015 07:00:00 AM,TN0330100,A8,Adam S,23G,Theft Of Motor Vehicle Parts Or Accessories,Part 1 Crimes,15-111995,4,Inactive/Suspended,35.044094838096704,-85.29964020711853,POINT (-85.299640207119 35.044094838097),8
2100 COLONIAL PARKWAY DR,Chattanooga,TN,37421-,11/06/2015 06:45:00 AM,TN0330100,C7,Charlie N,220,Burglary/Breaking And Entering,Part 1 Crimes,15-112003,3,Pending/Possible Leads,35.02172708163256,-85.12237157030638,POINT (-85.122371570306 35.021727081633),4
4900 BRAINERD RD.,Chattanooga,TN,37411-,11/06/2015 02:38:00 AM,TN0330100,C3,Charlie S,23C,Shoplifting,Part 1 Crimes,15-111772,4,Inactive/Suspended,35.011886462254715,-85.22871106368778,POINT (-85.228711063688 35.011886462255),6
3400 5TH AVE,Chattanooga,TN,37407-,11/06/2015 12:01:00 AM,TN0330100,B8,Baker S,23H,All Other Larceny,Part 1 Crimes,15-111797,4,Inactive/Suspended,35.00461684618238,-85.28491334742833,POINT (-85.284913347428 35.004616846182),7
3200 ROSSVILLE BLVD,Chattanooga,TN,37407-,11/05/2015 09:57:00 PM,TN0330100,B7,Baker S,23C,Shoplifting,Part 1 Crimes,15-111700,3,Pending/Possible Leads,35.00582064508598,-85.29255089550945,POINT (-85.292550895509 35.005820645086),7
5100 JARRETT RD,Chattanooga,TN,37416-,11/05/2015 09:30:00 PM,TN0330100,C5,Charlie N,220,Burglary/Breaking And Entering,Part 1 Crimes,15-111784,3,Pending/Possible Leads,35.09100899746467,-85.17297952797057,POINT (-85.172979527971 35.091008997465),5
200 Shipp AVE,Chatt,TN,37410,11/05/2015 09:00:00 PM,TN0330100,A11,Adam S,240,Motor Vehicle Theft,Part 1 Crimes,15-111785,2,Cleared by Arrest,35.01797271958637,-85.30916626169616,POINT (-85.309166261696 35.017972719586),7
5900 Hwy. 153,Chattanooga,TN,37343-,11/05/2015 08:43:00 PM,TN0330100,A1,Adam N,23C,Shoplifting,Part 1 Crimes,15-111704,2,Cleared by Arrest,35.16486022451392,-85.24795412285017,POINT (-85.24795412285 35.164860224514),1
1100 E 11th St.,Chattanooga,TN,37403-,11/05/2015 07:30:00 PM,TN0330100,A9,Adam S,23F,Theft From Motor Vehicle,Part 1 Crimes,15-111748,4,Inactive/Suspended,35.03816493170252,-85.29310058351997,POINT (-85.29310058352 35.038164931703),8
1400 E Main ST,chattanooga,TN,37403,11/05/2015 07:00:00 PM,TN0330100,B5,Baker S,23H,All Other Larceny,Part 1 Crimes,15-111676,3,Pending/Possible Leads,35.028542730437316,-85.28612061758845,POINT (-85.286120617588 35.028542730437),8
500 SIGNAL MOUNTAIN RD.,Chattanooga,TN,37415-,11/05/2015 06:57:00 PM,TN0330100,A5,Adam N,23C,Shoplifting,Part 1 Crimes,15-112029,4,Inactive/Suspended,35.09264775877361,-85.33054343935991,POINT (-85.33054343936 35.092647758774),1
1300 HIXSON PIKE,CHATTANOOGA,TN,37405,11/05/2015 06:30:00 PM,TN0330100,A4,Adam N,220,Burglary/Breaking And Entering,Part 1 Crimes,15-112953,3,Pending/Possible Leads,35.07142296590428,-85.28952631414202,POINT (-85.289526314142 35.071422965904),2
2000 GUNBARREL RD.,Chattanooga,TN,37421-,11/05/2015 02:30:00 PM,TN0330100,C7,Charlie N,23C,Shoplifting,Part 1 Crimes,15-111579,2,Cleared by Arrest,35.0318324253639,-85.15416004933492,POINT (-85.154160049335 35.031832425364),4
4500 HWY 58.,Chattanooga,TN,37416-,11/05/2015 02:30:00 PM,TN0330100,C5,Charlie N,23C,Shoplifting,Part 1 Crimes,15-111581,2,Cleared by Arrest,35.08408712877079,-85.19733052181358,POINT (-85.197330521814 35.084087128771),5
4800 HIGHWAY 58.,Chattanooga,TN,37416-,11/05/2015 02:20:00 PM,TN0330100,C5,Charlie N,23G,Theft Of Motor Vehicle Parts Or Accessories,Part 1 Crimes,15-111575,4,Inactive/Suspended,35.089898130596744,-85.18553082088793,POINT (-85.185530820888 35.089898130597),5
1000 AIRPORT RD,CHATTANOOGA,TN,37421-,11/05/2015 01:44:00 PM,TN0330100,C4,Charlie S,240,Motor Vehicle Theft,Part 1 Crimes,15-127882,I,Closed,35.04332826219709,-85.19754899983214,POINT (-85.197548999832 35.043328262197),5
6700 Hickory Manor Cir.,Chattanooga,TN,37421-,11/05/2015 01:14:00 PM,TN0330100,C6,Charlie N,220,Burglary/Breaking And Entering,Part 1 Crimes,15-111554,3,Pending/Possible Leads,35.03042472650978,-85.17618462352904,POINT (-85.176184623529 35.03042472651),6
2000 GUNBARREL ROAD,CHATTANOOGA,TN,37421,11/05/2015 01:10:00 PM,TN0330100,C7,Charlie N,23C,Shoplifting,Part 1 Crimes,15-111555,2,Cleared by Arrest,35.0301424253639,-85.15585004933492,POINT (-85.155850049335 35.030142425364),4
1700 PINE NEEDLES TRL.,Chattanooga,TN,37421-,11/05/2015 09:15:00 AM,TN0330100,C8,Charlie N,220,Burglary/Breaking And Entering,Part 1 Crimes,15-111493,3,Pending/Possible Leads,35.01523085541013,-85.12373704000265,POINT (-85.123737040003 35.01523085541),4
7000 Shallowford Road.,Chattanooga,TN,37421-,11/05/2015 09:06:00 AM,TN0330100,C6,Charlie N,23D,Theft From Buildings,Part 1 Crimes,15-111822,4,Inactive/Suspended,35.043713851951736,-85.1591886822545,POINT (-85.159188682254 35.043713851952),6
4100 OBAR DR.,Chattanooga,TN,37419-,11/05/2015 09:00:00 AM,TN0330100,A13,Adam S,23G,Theft Of Motor Vehicle Parts Or Accessories,Part 1 Crimes,15-111828,4,Inactive/Suspended,35.022656263358485,-85.40405353434512,POINT (-85.404053534345 35.022656263358),1
3600 WILCOX BLVD.,Chattanooga,TN,37411-,11/05/2015 09:00:00 AM,TN0330100,C1,Charlie S,220,Burglary/Breaking And Entering,Part 1 Crimes,15-111556,1,Unfounded,35.04655952516039,-85.23417357150853,POINT (-85.234173571509 35.04655952516),9
3100 Broad ST,Chattanooga,TN,37408,11/05/2015 08:30:00 AM,TN0330100,A11,Adam S,23F,Theft From Motor Vehicle,Part 1 Crimes,15-111824,4,Inactive/Suspended,35.020476911737994,-85.32110448888473,POINT (-85.32110448888501 35.020476911738),7
1300 N MOORE RD,Chattanooga,TN,37411-,11/05/2015 08:00:00 AM,TN0330100,C2,Charlie S,220,Burglary/Breaking And Entering,Part 1 Crimes,15-112772,4,Inactive/Suspended,35.035397764477814,-85.21996014435321,POINT (-85.219960144353 35.035397764478),5
200 WALNUT ST,Chattanooga,TN,37403-,11/05/2015 07:30:00 AM,TN0330100,A7,Adam S,23D,Theft From Buildings,Part 1 Crimes,15-112707,4,Inactive/Suspended,35.05415835236686,-85.30761589279663,POINT (-85.307615892797 35.054158352367),7
3300 4TH AVE.,Chattanooga,TN,37407-,11/05/2015 04:00:00 AM,TN0330100,B7,Baker S,220,Burglary/Breaking And Entering,Part 1 Crimes,15-111515,4,Inactive/Suspended,35.00587438997578,-85.28658064846141,POINT (-85.286580648461 35.005874389976),7
6900 E BRAINERD RD,Chattanooga,TN,37421-,11/05/2015 03:00:00 AM,TN0330100,C8,Charlie N,220,Burglary/Breaking And Entering,Part 1 Crimes,15-111462,4,Inactive/Suspended,35.01860418164259,-85.17305510513947,POINT (-85.173055105139 35.018604181643),4
2500 AMNICOLA HWY.,Chattanooga,TN,37406,11/05/2015 02:05:00 AM,TN0330100,B2,Baker N,23C,Shoplifting,Part 1 Crimes,15-111768,4,Inactive/Suspended,35.07318340891871,-85.2694193794748,POINT (-85.269419379475 35.073183408919),8
1000 Peachtree St,Chattanooga,TN,37404-,11/04/2015 10:30:00 PM,TN0330100,B5,Baker S,23F,Theft From Motor Vehicle,Part 1 Crimes,15-111380,4,Inactive/Suspended,35.02624966490658,-85.26773679665283,POINT (-85.267736796653 35.026249664907),9
5400 JACKSON ST.,Chattanooga,TN,37415-,11/04/2015 09:00:00 PM,TN0330100,A1,Adam N,220,Burglary/Breaking And Entering,Part 1 Crimes,15-111651,4,Inactive/Suspended,35.14797315385209,-85.27221281521665,POINT (-85.27221281521702 35.147973153852),1
1800 OLIVE ST.,Chattanooga,TN,37406-,11/04/2015 08:00:00 PM,TN0330100,B2,Baker N,23H,All Other Larceny,Part 1 Crimes,15-111352,4,Inactive/Suspended,35.05897175731977,-85.26332612983411,POINT (-85.26332612983401 35.05897175732),8
3500 CLIO AVE.,Chattanooga,TN,37407--,11/04/2015 08:00:00 PM,TN0330100,B7,Baker S,23F,Theft From Motor Vehicle,Part 1 Crimes,15-111605,4,Inactive/Suspended,35.003103231107644,-85.2905407476849,POINT (-85.290540747685 35.003103231108),7
7700 Lee Hwy,Chattanooga,TN,37421-,11/04/2015 07:30:00 PM,TN0330100,C9,Charlie N,23H,All Other Larceny,Part 1 Crimes,15-112020,4,Inactive/Suspended,35.06154737366215,-85.13165466178351,POINT (-85.131654661784 35.061547373662),6
4600 OLD MISSION RD,Chattanooga,TN,37411,11/04/2015 07:15:00 PM,TN0330100,C2,Charlie S,240,Motor Vehicle Theft,Part 1 Crimes,15-111348,4,Inactive/Suspended,35.01813539502428,-85.22912068428249,POINT (-85.229120684282 35.018135395024),5
300 WILLIAMS DR.,Chattanooga,TN,37421-,11/04/2015 06:01:00 PM,TN0330100,C4,Charlie S,220,Burglary/Breaking And Entering,Part 1 Crimes,15-111287,4,Inactive/Suspended,35.017458686961184,-85.1951402392359,POINT (-85.195140239236 35.017458686961),6
1000 DODSON AVE.,Chattanooga,TN,37406-,11/04/2015 06:00:00 PM,TN0330100,B2,Baker N,23H,All Other Larceny,Part 1 Crimes,15-111490,4,Inactive/Suspended,35.04891616474464,-85.26356744334305,POINT (-85.263567443343 35.048916164745),8
1700 VANCE AVE,Chattanooga,TN,37404-,11/04/2015 05:30:00 PM,TN0330100,B5,Baker S,220,Burglary/Breaking And Entering,Part 1 Crimes,15-111270,4,Inactive/Suspended,35.03199155250378,-85.28071376128112,POINT (-85.280713761281 35.031991552504),9
4100 WILKESVIEW DR.,Chattanooga,TN,37416-,11/04/2015 05:20:00 PM,TN0330100,C5,Charlie N,220,Burglary/Breaking And Entering,Part 1 Crimes,15-111252,4,Inactive/Suspended,35.07982028484166,-85.20452394181795,POINT (-85.204523941818 35.079820284842),5
