Address,City,State,Zip,Date_Incident,Jurisdiction,Incident_Tract,Zone,UCR_Incident_Code,Incident_Description,Incident_Type,Case_Number,Case_Status,Case_Status_Description,Latitude,Longitude,Location,citydst
5500 Hwy 153,Chattanooga,TN,37343,07/08/2018 08:00:00 PM,TN0330100,A1,Adam N,23G,Theft Of Motor Vehicle Parts Or Accessories,Part 1 Crimes,18-064712,3,Pending/Possible Leads,35.143121799999996,-85.25242300000001,POINT (-85.252423 35.1431218),3
4600 Sunflower Ln,Chattanooga,TN,37416-3041,07/08/2018 07:56:00 PM,TN0330100,,,23C,Shoplifting,Part 1 Crimes,18-064380,,,35.08559749953593,-85.19831350550193,POINT (-85.198313505502 35.08559749953601),3
2100 Gunbarrel Rd,Chattanooga,TN,37421,07/08/2018 07:39:00 PM,TN0330100,C7,Charlie N,23C,Shoplifting,Part 1 Crimes,18-071126,3,Pending/Possible Leads,35.034035,-85.15003800000001,POINT (-85.150038 35.034035),4
7400 Commons Blvd,Chattanooga,TN,37421,07/08/2018 06:28:00 PM,TN0330100,C7,Charlie N,23C,Shoplifting,Part 1 Crimes,18-064323,2,Cleared by Arrest,35.035092999999996,-85.1468,POINT (-85.1468 35.035093),4
600 Lytle St,Chattanooga,TN,37405,07/08/2018 05:41:00 PM,TN0330100,A4,Adam N,220,Burglary/Breaking And Entering,Part 1 Crimes,18-064291,3,Pending/Possible Leads,35.068413,-85.298587,POINT (-85.298587 35.068413),2
4100 Quinn Adams St,Chattanooga,TN,37410,07/08/2018 05:20:00 PM,TN0330100,A12,Adam S,240,Motor Vehicle Theft,Part 1 Crimes,18-064301,3,Pending/Possible Leads,35.001048,-85.308169,POINT (-85.308169 35.001048),7
4100 Quinn Adams St,Chattanooga,TN,37410,07/08/2018 05:20:00 PM,TN0330100,A12,Adam S,220,Burglary/Breaking And Entering,Part 1 Crimes,18-064301,3,Pending/Possible Leads,35.001363,-85.309177,POINT (-85.309177 35.001363),7
7700 Lee Hwy,Chattanooga,TN,37421,07/08/2018 05:00:00 PM,TN0330100,C9,Charlie N,23C,Shoplifting,Part 1 Crimes,18-064299,3,Pending/Possible Leads,35.061657,-85.129756,POINT (-85.129756 35.061657),6
3900 7th Ave,Chattanooga,TN,37407,07/08/2018 04:30:00 PM,TN0330100,B9,Baker S,23F,Theft From Motor Vehicle,Part 1 Crimes,18-065260,3,Pending/Possible Leads,34.997674,-85.286487,POINT (-85.286487 34.997674),7
5200 Central Ave,Chattanooga,TN,37410,07/08/2018 04:28:00 PM,TN0330100,A12,Adam S,23H,All Other Larceny,Part 1 Crimes,18-064286,3,Pending/Possible Leads,34.988821800000004,-85.318314,POINT (-85.318314 34.9888218),7
1800 E 32nd St,Chattanooga,TN,37407,07/08/2018 04:00:00 PM,TN0330100,B7,Baker S,23F,Theft From Motor Vehicle,Part 1 Crimes,18-064319,3,Pending/Possible Leads,35.008182999999995,-85.290644,POINT (-85.290644 35.008183),7
7000 Mccutcheon Rd,Chattanooga,TN,37421,07/08/2018 03:35:00 PM,TN0330100,C9,Charlie N,240,Motor Vehicle Theft,Part 1 Crimes,18-064270,2,Cleared by Arrest,35.046902,-85.15611700000001,POINT (-85.156117 35.046902),6
2100 Hamilton Place Blvd,Chattanooga,TN,37421,07/08/2018 03:35:00 PM,TN0330100,C7,Charlie N,23C,Shoplifting,Part 1 Crimes,18-064268,2,Cleared by Arrest,35.035447999999995,-85.157926,POINT (-85.157926 35.035448),4
4500 Kemp Dr,Chattanooga,TN,37411,07/08/2018 03:32:00 PM,TN0330100,C2,Charlie S,220,Burglary/Breaking And Entering,Part 1 Crimes,18-064272,3,Pending/Possible Leads,35.025639,-85.230503,POINT (-85.230503 35.025639),5
4000 Lara Ln,Chattanooga,TN,37416,07/08/2018 03:30:00 PM,TN0330100,C5,Charlie N,23H,All Other Larceny,Part 1 Crimes,18-064330,3,Pending/Possible Leads,35.095438,-85.1882,POINT (-85.1882 35.095438),3
3900 Elmo Ave,Chattanooga,TN,37409,07/08/2018 03:00:00 PM,TN0330100,A12,Adam S,240,Motor Vehicle Theft,Part 1 Crimes,18-064282,4,Inactive/Suspended,35.009404,-85.329021,POINT (-85.329021 35.009404),7
200 Northgate Mall Dr,Chattanooga,TN,37415,07/08/2018 02:15:00 PM,TN0330100,A2,Adam N,23C,Shoplifting,Part 1 Crimes,18-064260,2,Cleared by Arrest,35.130645,-85.239941,POINT (-85.239941 35.130645),3
1600 N Chamberlain Ave,Chattanooga,TN,37406,07/08/2018 02:00:00 PM,TN0330100,B2,Baker N,23F,Theft From Motor Vehicle,Part 1 Crimes,18-064368,3,Pending/Possible Leads,35.052873000000005,-85.255146,POINT (-85.255146 35.052873),9
2800 Ridgecrest Dr,Chattanooga,TN,37406,07/08/2018 09:00:00 AM,TN0330100,B1,Baker N,220,Burglary/Breaking And Entering,Part 1 Crimes,18-064704,3,Pending/Possible Leads,35.078865,-85.235124,POINT (-85.235124 35.078865),9
6500 Hunt Dr,Chattanooga,TN,37421,07/08/2018 08:00:00 AM,TN0330100,C4,Charlie S,23F,Theft From Motor Vehicle,Part 1 Crimes,18-064678,3,Pending/Possible Leads,35.025417,-85.188874,POINT (-85.188874 35.025417),6
3800 Fagan St,Chattanooga,TN,37410,07/08/2018 08:00:00 AM,TN0330100,A12,Adam S,220,Burglary/Breaking And Entering,Part 1 Crimes,18-077079,3,Pending/Possible Leads,35.00464,-85.30775999999999,POINT (-85.30776 35.00464),7
2400 Harley St,Chattanooga,TN,37406,07/08/2018 07:00:00 AM,TN0330100,B2,Baker N,240,Motor Vehicle Theft,Part 1 Crimes,18-064264,I,Closed,35.064800000000005,-85.245474,POINT (-85.245474 35.0648),9
3500 6th Ave,Chattanooga,TN,37407,07/08/2018 06:30:00 AM,TN0330100,B8,Baker S,23G,Theft Of Motor Vehicle Parts Or Accessories,Part 1 Crimes,18-064359,3,Pending/Possible Leads,35.001948999999996,-85.286507,POINT (-85.286507 35.001949),7
