Address,City,State,Zip,Date_Incident,Jurisdiction,Incident_Tract,Zone,UCR_Incident_Code,Incident_Description,Incident_Type,Case_Number,Case_Status,Case_Status_Description,Latitude,Neighborhood,Longitude,Location,citydst
2000 Gunbarrel Rd,Chattanooga,TN,37421,10/28/2017 18:45,TN0330100,C7,Charlie N,23C,Shoplifting,Part 1 Crimes,17-105495,3,Pending/Possible Leads,35.030282,,-85.153993,POINT (-85.153993 35.030282),4
2100 Hamilton Place Blvd,Chattanooga,TN,37421,10/28/2017 19:40,TN0330100,C7,Charlie N,23C,Shoplifting,Part 1 Crimes,17-105502,2,Cleared by Arrest,35.035035,,-85.159609,POINT (-85.159609 35.035035),4
1700 Bradt St,Chattanooga,TN,37406,10/28/2017 20:00,TN0330100,B2,Baker N,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,17-105505,3,Pending/Possible Leads,35.056008,Avondale,-85.262159,POINT (-85.262159 35.056008),8
1800 Gunbarrel Rd,Chattanooga,TN,37421,10/28/2017 21:08,TN0330100,C8,Charlie N,90J,Trespass Of Real Property,Part 2 Crimes,17-105518,2,Cleared by Arrest,35.025354,,-85.155357,POINT (-85.155357 35.025354),4
1800 Gunbarrel Rd,Chattanooga,TN,37421,10/28/2017 21:08,TN0330100,C8,Charlie N,23C,Shoplifting,Part 1 Crimes,17-105518,2,Cleared by Arrest,35.02468,,-85.155385,POINT (-85.155385 35.02468),4
00 Wert St,Chattanooga,TN,37405,10/28/2017 21:22,TN0330100,A4,Adam N,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,17-105520,3,Pending/Possible Leads,35.077686,Hill City,-85.307989,POINT (-85.307989 35.077686),1
1600 E 23rd St,Chattanooga,TN,37404,10/28/2017 21:23,TN0330100,B6,Baker S,23C,Shoplifting,Part 1 Crimes,17-105522,2,Cleared by Arrest,35.020808,,-85.289762,POINT (-85.289762 35.020808),8
4700 Ridgecrest Rd,Chattanooga,TN,37343,10/28/2017 22:00,TN0330100,A2,Adam N,220,Burglary/Breaking And Entering,Part 1 Crimes,17-105591,3,Pending/Possible Leads,35.123237,,-85.195842,POINT (-85.195842 35.123237),3
4700 Old Mission Rd,Chattanooga,TN,37411,10/28/2017 22:30,TN0330100,C2,Charlie S,23D,Theft From Buildings,Part 1 Crimes,17-105888,3,Pending/Possible Leads,35.016649,,-85.226969,POINT (-85.226969 35.016649),5
1600 Five Springs Dr,Chattanooga,TN,37419,10/29/2017 1:00,TN0330100,A13,Adam S,23D,Theft From Buildings,Part 1 Crimes,17-105640,3,Pending/Possible Leads,35.032295,,-85.373174,POINT (-85.373174 35.032295),1
