Address,City,State,Zip,Date_Incident,Jurisdiction,Incident_Tract,Zone,UCR_Incident_Code,Incident_Description,Incident_Type,Case_Number,Case_Status,Case_Status_Description,Latitude,Neighborhood,Longitude,Location,citydst
800 E 48th St,Chattanooga,TN,37410,9/30/2022 23:30,TN0330100,A12,Adam S,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,22-107026,3,Pending/Possible Leads,34.992761,Alton Park/ Piney Woods,-85.303987,POINT (-85.303987 34.992761),7
4000 Cummings Hwy,Chattanooga,TN,37419,10/1/2022 0:00,TN0330100,A13,Adam S,26A,False Pretense/Swindle/Confidence Game,Part 1 Crimes,23-022485,3,Pending/Possible Leads,35.024672,,-85.391075,POINT (-85.391075 35.024672),1
1100 N Hawthorne St,Chattanooga,TN,37406,10/1/2022 0:30,TN0330100,B3,Baker N,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,22-107043,3,Pending/Possible Leads,35.051861,Avondale,-85.266651,POINT (-85.266651 35.051861),8
900 Riverfront Pkwy,Chattanooga,TN,37402,10/1/2022 1:20,TN0330100,A6,Adam S,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,22-106831,3,Pending/Possible Leads,35.049624,,-85.324493,POINT (-85.324493 35.049624),7
500 W Martin Luther King Blvd,Chattanooga,TN,37402,10/1/2022 8:00,TN0330100,A6,Adam S,26B,Fraud Credit Card/Automated Teller Machines,Part 1 Crimes,22-107924,3,Pending/Possible Leads,35.047334,,-85.319163,POINT (-85.319163 35.047334),7
2000 E 23rd St,Chattanooga,TN,37404,10/1/2022 12:00,TN0330100,B6,Baker S,23D,Theft From Buildings,Part 1 Crimes,22-116234,3,Pending/Possible Leads,35.019029,Oak Grove,-85.282073,POINT (-85.282073 35.019029),8
7700 Nautical Way,Chattanooga,TN,37416,10/1/2022 12:00,TN0330100,C5,Charlie N,23F,Theft From Motor Vehicle,Part 1 Crimes,22-107322,3,Pending/Possible Leads,35.080846,Washington Hills,-85.169649,POINT (-85.169649 35.080846),5
4600 Woodmore View Cir,Chattanooga,TN,37411,10/1/2022 12:00,TN0330100,C3,Charlie S,23D,Theft From Buildings,Part 1 Crimes,22-112554,3,Pending/Possible Leads,35.034726,,-85.216819,POINT (-85.216819 35.034726),5
1500 E 41st St,Chattanooga,TN,37407,10/1/2022 12:00,TN0330100,B9,Baker S,220,Burglary/Breaking And Entering,Part 1 Crimes,22-139055,3,Pending/Possible Leads,34.994704,,-85.292554,POINT (-85.292554 34.994704),7
4700 Hwy 58,Chattanooga,TN,37416,10/1/2022 15:08,TN0330100,C5,Charlie N,250,Forgery/Counterfeiting,Part 1 Crimes,22-119252,3,Pending/Possible Leads,35.087922,,-85.190438,POINT (-85.190438 35.087922),3
4700 Hwy 58,Chattanooga,TN,37416,10/1/2022 15:08,TN0330100,C5,Charlie N,26A,False Pretense/Swindle/Confidence Game,Part 1 Crimes,22-119252,3,Pending/Possible Leads,35.087676,,-85.190833,POINT (-85.190833 35.087676),3
400 Greenway View Dr,Chattanooga,TN,37411,10/1/2022 15:20,TN0330100,C3,Charlie S,23C,Shoplifting,Part 1 Crimes,22-107240,2,Cleared by Arrest,35.009485,,-85.204267,POINT (-85.204267 35.009485),6
2300 Windsor St,Chattanooga,TN,37406,10/1/2022 16:00,TN0330100,B3,Baker N,90J,Trespass Of Real Property,Part 2 Crimes,22-107330,3,Pending/Possible Leads,35.047846,Avondale,-85.262246,POINT (-85.262246 35.047846),8
400 Spring St,Chattanooga,TN,37405,10/1/2022 16:40,TN0330100,A4,Adam N,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,22-107268,2,Cleared by Arrest,35.068305,Northside/Cherokee,-85.314488,POINT (-85.314488 35.068305),1
7800 Eden Ct,Chattanooga,TN,37421,10/1/2022 17:00,TN0330100,C9,Charlie N,26A,False Pretense/Swindle/Confidence Game,Part 1 Crimes,22-107363,3,Pending/Possible Leads,35.040438,Ashwood,-85.131434,POINT (-85.131434 35.040438),4
5400 Highway 153,Chattanooga,TN,37343,10/1/2022 17:00,TN0330100,A1,Adam N,250,Forgery/Counterfeiting,Part 1 Crimes,22-107280,3,Pending/Possible Leads,35.140533,,-85.248542,POINT (-85.248542 35.140533),2
1000 Gadd Rd,Chattanooga,TN,37343,10/1/2022 17:07,TN0330100,A1,Adam N,100,Kidnapping/Abduction,Part 1 Crimes,22-107277,3,Pending/Possible Leads,35.141825,,-85.250477,POINT (-85.250477 35.141825),3
3300 Pinewood Ave,Chattanooga,TN,37411,10/1/2022 17:21,TN0330100,C2,Charlie S,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,22-107281,2,Cleared by Arrest,35.029959,,-85.253325,POINT (-85.253325 35.029959),9
7700 Holiday Hills Cir,Chattanooga,TN,37416,10/1/2022 18:40,TN0330100,C5,Charlie N,23F,Theft From Motor Vehicle,Part 1 Crimes,22-107300,3,Pending/Possible Leads,35.079444,,-85.17134,POINT (-85.17134 35.079444),5
400 Greenway View Dr,Chattanooga,TN,37411,10/1/2022 19:11,TN0330100,C3,Charlie S,23C,Shoplifting,Part 1 Crimes,22-107309,3,Pending/Possible Leads,35.008371,,-85.204334,POINT (-85.204334 35.008371),6
1200 Boynton Dr,Chattanooga,TN,37402,10/1/2022 20:00,TN0330100,A6,Adam S,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,22-113548,3,Pending/Possible Leads,35.044929,,-85.319684,POINT (-85.319684 35.044929),7
2100 Duncan Ave,Chattanooga,TN,37404,10/1/2022 20:00,TN0330100,B5,Baker S,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,22-107348,3,Pending/Possible Leads,35.034704,Highland Park,-85.272019,POINT (-85.272019 35.034704),9
400 Greenway View Dr,Chattanooga,TN,37411,10/1/2022 20:00,TN0330100,C3,Charlie S,23C,Shoplifting,Part 1 Crimes,22-107316,3,Pending/Possible Leads,35.00791,,-85.205358,POINT (-85.205358 35.00791),6
00 Station St,Chattanooga,TN,37408,10/1/2022 22:00,TN0330100,A9,Adam S,23D,Theft From Buildings,Part 1 Crimes,22-108477,3,Pending/Possible Leads,35.03779,,-85.306216,POINT (-85.306216 35.03779),8
2000 Gunbarrel Rd,Chattanooga,TN,37421,10/1/2022 22:50,TN0330100,C7,Charlie N,90J,Trespass Of Real Property,Part 2 Crimes,22-107379,2,Cleared by Arrest,35.030832,,-85.150444,POINT (-85.150444 35.030832),4
5600 Hixson Pike,Chattanooga,TN,37343,10/1/2022 23:00,TN0330100,A2,Adam N,270,Embezzlement,Part 1 Crimes,23-015781,2,Cleared by Arrest,35.144379,,-85.220206,POINT (-85.220206 35.144379),3
1100 E 11th St,Chattanooga,TN,37403,10/2/2022 1:00,TN0330100,A9,Adam S,23F,Theft From Motor Vehicle,Part 1 Crimes,22-107570,2,Cleared by Arrest,35.037401,,-85.291727,POINT (-85.291727 35.037401),8
1100 N Hawthorne St,Chattanooga,TN,37406,10/2/2022 1:50,TN0330100,B3,Baker N,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,22-107433,3,Pending/Possible Leads,35.052259,Avondale,-85.267025,POINT (-85.267025 35.052259),8
2400 Kirby Ave,Chattanooga,TN,37404,10/2/2022 2:30,TN0330100,B5,Baker S,220,Burglary/Breaking And Entering,Part 1 Crimes,22-107461,3,Pending/Possible Leads,35.028755,Ridgedale,-85.269617,POINT (-85.269617 35.028755),9
1400 E 23rd St,Chattanooga,TN,37404,10/2/2022 3:00,TN0330100,B6,Baker S,23D,Theft From Buildings,Part 1 Crimes,22-107455,3,Pending/Possible Leads,35.022265,,-85.290338,POINT (-85.290338 35.022265),8
2700 6th Ave,Chattanooga,TN,37407,10/2/2022 3:00,TN0330100,B8,Baker S,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,22-107500,3,Pending/Possible Leads,35.012227,,-85.28063,POINT (-85.28063 35.012227),8
2200 E 13th St,Chattanooga,TN,37404,10/2/2022 4:30,TN0330100,B5,Baker S,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,22-107505,3,Pending/Possible Leads,35.025953,Ridgedale,-85.274066,POINT (-85.274066 35.025953),8
18000 Interstate 24 Eb St,Chattanooga,TN,37408,10/2/2022 9:26,TN0330100,B6,Baker S,90J,Trespass Of Real Property,Part 2 Crimes,22-107513,2,Cleared by Arrest,35.022024,,-85.297869,POINT (-85.297869 35.022024),8
4700 Highway 58,Chattanooga,TN,37416,10/2/2022 11:44,TN0330100,C5,Charlie N,23D,Theft From Buildings,Part 1 Crimes,22-111352,3,Pending/Possible Leads,35.088935,,-85.189276,POINT (-85.189276 35.088935),3
2100 Hamilton Place Blvd,Chattanooga,TN,37421,10/2/2022 13:16,TN0330100,C7,Charlie N,90J,Trespass Of Real Property,Part 2 Crimes,22-107564,3,Pending/Possible Leads,35.03498,,-85.159488,POINT (-85.159488 35.03498),4
1200 E Main St,Chattanooga,TN,37408,10/2/2022 13:22,TN0330100,B5,Baker S,26B,Fraud Credit Card/Automated Teller Machines,Part 1 Crimes,22-107598,3,Pending/Possible Leads,35.02958,Park Central,-85.289586,POINT (-85.289586 35.02958),8
700 Signal Mountain Rd,Chattanooga,TN,37405,10/2/2022 13:25,TN0330100,A5,Adam N,23C,Shoplifting,Part 1 Crimes,22-107572,3,Pending/Possible Leads,35.100183,,-85.327199,POINT (-85.327199 35.100183),1
800 E 12th St,Chattanooga,TN,37403,10/2/2022 13:30,TN0330100,A9,Adam S,90J,Trespass Of Real Property,Part 2 Crimes,22-107568,3,Pending/Possible Leads,35.03975,,-85.299756,POINT (-85.299756 35.03975),8
1600 Gulf St,Chattanooga,TN,37408,10/2/2022 13:35,TN0330100,B6,Baker S,23A,Pocket Picking,Part 1 Crimes,22-107562,3,Pending/Possible Leads,35.029701,Park Central,-85.291954,POINT (-85.291954 35.029701),8
2300 Shallowford Village Dr,Chattanooga,TN,37421,10/2/2022 14:00,TN0330100,C9,Charlie N,23C,Shoplifting,Part 1 Crimes,22-107585,2,Cleared by Arrest,35.044723,,-85.154454,POINT (-85.154454 35.044723),6
1500 Market St,Chattanooga,TN,37408,10/2/2022 17:35,TN0330100,A10,Adam S,220,Burglary/Breaking And Entering,Part 1 Crimes,22-108227,3,Pending/Possible Leads,35.036234,,-85.30668,POINT (-85.30668 35.036234),8
400 Greenway View Dr,Chattanooga,TN,37411,10/2/2022 17:40,TN0330100,C3,Charlie S,23C,Shoplifting,Part 1 Crimes,22-107670,2,Cleared by Arrest,35.00798,,-85.206161,POINT (-85.206161 35.00798),6
4500 Highway 58,Chattanooga,TN,37416,10/2/2022 18:40,TN0330100,C5,Charlie N,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,22-107687,3,Pending/Possible Leads,35.085828,,-85.198781,POINT (-85.198781 35.085828),3
1600 E 23rd St,Chattanooga,TN,37404,10/2/2022 19:12,TN0330100,B6,Baker S,270,Embezzlement,Part 1 Crimes,22-107744,3,Pending/Possible Leads,35.020028,,-85.286683,POINT (-85.286683 35.020028),8
4500 58 Hwy,Chattanooga,TN,37416,10/2/2022 21:15,TN0330100,C5,Charlie N,270,Embezzlement,Part 1 Crimes,22-107735,2,Cleared by Arrest,35.083244,Lake Hills,-85.198517,POINT (-85.198517 35.083244),5
3700 Cummings Hwy,Chattanooga,TN,37419,10/2/2022 21:23,TN0330100,A13,Adam S,23F,Theft From Motor Vehicle,Part 1 Crimes,22-107739,2,Cleared by Arrest,35.018686,,-85.379485,POINT (-85.379485 35.018686),1
4000 6th Ave,Chattanooga,TN,37407,10/2/2022 21:26,TN0330100,B9,Baker S,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,22-107740,3,Pending/Possible Leads,34.994614,East Lake,-85.288419,POINT (-85.288419 34.994614),7
3700 Powers Ct,Chattanooga,TN,37416,10/2/2022 22:00,TN0330100,C6,Charlie N,90J,Trespass Of Real Property,Part 2 Crimes,22-108228,3,Pending/Possible Leads,35.069836,,-85.195774,POINT (-85.195774 35.069836),5
100 Shallowford Rd,Chattanooga,TN,37404,10/2/2022 22:30,TN0330100,C2,Charlie S,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,22-107758,3,Pending/Possible Leads,35.034535,Missionary Rdge,-85.252743,POINT (-85.252743 35.034535),9
1700 Verona Dr,Chattanooga,TN,37421,10/3/2022 0:00,TN0330100,C8,Charlie N,26A,False Pretense/Swindle/Confidence Game,Part 1 Crimes,22-119813,3,Pending/Possible Leads,35.026614,,-85.163864,POINT (-85.163864 35.026614),4
1700 S Kelley St,Chattanooga,TN,37404,10/3/2022 2:30,TN0330100,B6,Baker S,23F,Theft From Motor Vehicle,Part 1 Crimes,22-107787,3,Pending/Possible Leads,35.022331,Oak Grove,-85.27678,POINT (-85.27678 35.022331),9
E 11th St,Chattanooga,TN,37402,10/3/2022 3:00,TN0330100,A9,Adam S,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,22-107798,3,Pending/Possible Leads,35.043694,,-85.309029,POINT (-85.309029 35.043694),8
800 E 12th St,Chattanooga,TN,37403,10/3/2022 9:07,TN0330100,A9,Adam S,90J,Trespass Of Real Property,Part 2 Crimes,22-107846,2,Cleared by Arrest,35.039024,,-85.298109,POINT (-85.298109 35.039024),8
6700 Mountain View Rd,Chattanooga,TN,37363,10/3/2022 9:25,TN0330100,C9,Charlie N,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,22-107850,3,Pending/Possible Leads,35.104878,,-85.05279,POINT (-85.05279 35.104878),6
2100 Gunbarrel Rd,Chattanooga,TN,37421,10/3/2022 9:39,TN0330100,C7,Charlie N,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,22-107859,3,Pending/Possible Leads,35.034897,,-85.152697,POINT (-85.152697 35.034897),4
1700 E 23rd St,Chattanooga,TN,37404,10/3/2022 10:33,TN0330100,B6,Baker S,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,22-107878,3,Pending/Possible Leads,35.019797,,-85.285616,POINT (-85.285616 35.019797),8
8900 Rostis Ln,Chattanooga,TN,37421,10/3/2022 11:08,TN0330100,C8,Charlie N,250,Forgery/Counterfeiting,Part 1 Crimes,22-107895,3,Pending/Possible Leads,35.01567,,-85.14336,POINT (-85.14336 35.01567),4
8200 Chula Creek Rd,Chattanooga,TN,37421,10/3/2022 11:53,TN0330100,C8,Charlie N,26E,Wire/Computer/Other Electronic Manipulation,Part 1 Crimes,22-107919,3,Pending/Possible Leads,35.015953,,-85.147152,POINT (-85.147152 35.015953),4
1300 Workman Rd,Chattanooga,TN,37407,10/3/2022 12:00,TN0330100,B9,Baker S,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,22-110644,3,Pending/Possible Leads,34.992979,Alton Park/ Piney Woods,-85.29969,POINT (-85.29969 34.992979),7
3800 Wilcox Blvd,Chattanooga,TN,37411,10/3/2022 12:00,TN0330100,C1,Charlie S,26A,False Pretense/Swindle/Confidence Game,Part 1 Crimes,22-108263,3,Pending/Possible Leads,35.045048,Indian Hills,-85.224965,POINT (-85.224965 35.045048),5
1300 Workman Rd,Chattanooga,TN,37407,10/3/2022 12:00,TN0330100,B9,Baker S,220,Burglary/Breaking And Entering,Part 1 Crimes,22-110644,3,Pending/Possible Leads,34.991412,Alton Park/ Piney Woods,-85.299209,POINT (-85.299209 34.991412),7
4200 Seneca Ave,Chattanooga,TN,37409,10/3/2022 13:28,TN0330100,A12,Adam S,220,Burglary/Breaking And Entering,Part 1 Crimes,22-107944,3,Pending/Possible Leads,35.005667,St. Elmo,-85.326785,POINT (-85.326785 35.005667),7
400 Greenway View Dr,Chattanooga,TN,37411,10/3/2022 13:47,TN0330100,C3,Charlie S,23C,Shoplifting,Part 1 Crimes,22-108039,3,Pending/Possible Leads,35.009445,,-85.205956,POINT (-85.205956 35.009445),6
4200 Cromwell Rd,Chattanooga,TN,37421,10/3/2022 13:50,TN0330100,C1,Charlie S,90J,Trespass Of Real Property,Part 2 Crimes,22-107954,3,Pending/Possible Leads,35.065981,,-85.198184,POINT (-85.198184 35.065981),5
5600 Hixson Pike,Chattanooga,TN,37343,10/3/2022 15:00,TN0330100,A2,Adam N,23D,Theft From Buildings,Part 1 Crimes,22-107981,2,Cleared by Arrest,35.144471,,-85.220866,POINT (-85.220866 35.144471),3
1300 W 31st St,Chattanooga,TN,37408,10/3/2022 15:04,TN0330100,A11,Adam S,220,Burglary/Breaking And Entering,Part 1 Crimes,22-107979,3,Pending/Possible Leads,35.020079,,-85.321767,POINT (-85.321767 35.020079),7
2500 Lifestyle Way,Chattanooga,TN,37421,10/3/2022 15:55,TN0330100,C9,Charlie N,90J,Trespass Of Real Property,Part 2 Crimes,22-107996,3,Pending/Possible Leads,35.04377,,-85.153084,POINT (-85.153084 35.04377),4
1900 Market St,Chattanooga,TN,37421,10/3/2022 16:00,TN0330100,A10,Adam S,23F,Theft From Motor Vehicle,Part 1 Crimes,22-108247,3,Pending/Possible Leads,35.050095,,-85.169809,POINT (-85.169809 35.050095),6
2900 Haywood Ave,Chattanooga,TN,37415,10/3/2022 16:10,TN0330100,A3,Adam N,26C,Impersonation,Part 1 Crimes,22-108001,3,Pending/Possible Leads,35.098027,Stuart Heights,-85.286142,POINT (-85.286142 35.098027),2
1300 Chestnut St,Chattanooga,TN,37402,10/3/2022 16:30,TN0330100,A9,Adam S,270,Embezzlement,Part 1 Crimes,22-108008,3,Pending/Possible Leads,35.040066,,-85.311042,POINT (-85.311042 35.040066),7
6800 Bayou Ct,Chattanooga,TN,37343,10/3/2022 20:28,TN0330100,A1,Adam N,26C,Impersonation,Part 1 Crimes,22-108435,3,Pending/Possible Leads,35.166872,,-85.193686,POINT (-85.193686 35.166872),3
2300 Shallowford Village Dr,Chattanooga,TN,37421,10/3/2022 22:40,TN0330100,C9,Charlie N,23C,Shoplifting,Part 1 Crimes,22-108112,3,Pending/Possible Leads,35.044441,,-85.158259,POINT (-85.158259 35.044441),6
3800 Hixson Pike,Chattanooga,TN,37415,10/3/2022 23:11,TN0330100,A3,Adam N,220,Burglary/Breaking And Entering,Part 1 Crimes,22-108119,3,Pending/Possible Leads,35.112008,,-85.271592,POINT (-85.271592 35.112008),2
2300 Infantry Rd,Chattanooga,TN,37406,10/4/2022 0:00,TN0330100,B2,Baker N,220,Burglary/Breaking And Entering,Part 1 Crimes,22-108721,3,Pending/Possible Leads,35.060815,Avondale,-85.252301,POINT (-85.252301 35.060815),9
200 Chestnut St,Chattanooga,TN,37402,10/4/2022 1:00,TN0330100,A7,Adam S,23D,Theft From Buildings,Part 1 Crimes,22-108279,3,Pending/Possible Leads,35.053122,,-85.311397,POINT (-85.311397 35.053122),7
2700 Folts Dr,Chattanooga,TN,37415,10/4/2022 8:58,TN0330100,A3,Adam N,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,22-108209,3,Pending/Possible Leads,35.09116,,-85.286943,POINT (-85.286943 35.09116),2
900 Eastgate Loop,Chattanooga,TN,37411,10/4/2022 10:30,TN0330100,C3,Charlie S,23F,Theft From Motor Vehicle,Part 1 Crimes,22-108258,3,Pending/Possible Leads,35.009446,,-85.212677,POINT (-85.212677 35.009446),6
5400 Hixson Pike,Chattanooga,TN,37343,10/4/2022 10:37,TN0330100,A2,Adam N,220,Burglary/Breaking And Entering,Part 1 Crimes,22-108246,3,Pending/Possible Leads,35.142547,,-85.230846,POINT (-85.230846 35.142547),3
100 Browns Ferry Rd,Chattanooga,TN,37419,10/4/2022 12:06,TN0330100,A13,Adam S,23C,Shoplifting,Part 1 Crimes,22-108274,3,Pending/Possible Leads,35.025382,,-85.366467,POINT (-85.366467 35.025382),1
300 Frazier Ave,Chattanooga,TN,37405,10/4/2022 12:24,TN0330100,A4,Adam N,90J,Trespass Of Real Property,Part 2 Crimes,22-108285,2,Cleared by Arrest,35.061554,,-85.306036,POINT (-85.306036 35.061554),2
5700 Lake Resort Dr,Chattanooga,TN,37415,10/4/2022 12:44,TN0330100,A2,Adam N,23D,Theft From Buildings,Part 1 Crimes,22-108282,3,Pending/Possible Leads,35.112831,,-85.216077,POINT (-85.216077 35.112831),3
400 Greenway View Dr,Chattanooga,TN,37411,10/4/2022 13:00,TN0330100,C3,Charlie S,270,Embezzlement,Part 1 Crimes,22-118154,3,Pending/Possible Leads,35.009179,,-85.204254,POINT (-85.204254 35.009179),6
2100 Hamilton Place Blvd,Chattanooga,TN,37421,10/4/2022 13:23,TN0330100,C7,Charlie N,23C,Shoplifting,Part 1 Crimes,22-108311,2,Cleared by Arrest,35.034495,,-85.158298,POINT (-85.158298 35.034495),4
1600 Bailey Ave,Chattanooga,TN,37404,10/4/2022 13:51,TN0330100,B5,Baker S,23D,Theft From Buildings,Part 1 Crimes,22-108307,3,Pending/Possible Leads,35.03529,Highland Park,-85.279813,POINT (-85.279813 35.03529),9
400 Friar Rd,Chattanooga,TN,37421,10/4/2022 15:00,TN0330100,C4,Charlie S,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,22-108348,3,Pending/Possible Leads,35.019396,,-85.19535,POINT (-85.19535 35.019396),6
2100 Mccallie Ave,Chattanooga,TN,37404,10/4/2022 15:30,TN0330100,B5,Baker S,23C,Shoplifting,Part 1 Crimes,22-108387,3,Pending/Possible Leads,35.034168,Ridgedale,-85.271799,POINT (-85.271799 35.034168),9
8100 E Brainerd Rd,Chattanooga,TN,37421,10/4/2022 17:00,TN0330100,C8,Charlie N,23D,Theft From Buildings,Part 1 Crimes,22-108528,3,Pending/Possible Leads,35.002629,,-85.14838,POINT (-85.14838 35.002629),4
2200 Gunbarrel Rd,Chattanooga,TN,37421,10/4/2022 17:53,TN0330100,C7,Charlie N,23C,Shoplifting,Part 1 Crimes,22-108409,2,Cleared by Arrest,35.040446,,-85.150436,POINT (-85.150436 35.040446),4
2200 Polymer Dr,Chattanooga,TN,37421,10/4/2022 18:12,TN0330100,C4,Charlie S,90J,Trespass Of Real Property,Part 2 Crimes,22-108417,3,Pending/Possible Leads,35.053214,Shepherd,-85.193203,POINT (-85.193203 35.053214),6
1900 Gunbarrel Rd,Chattanooga,TN,37421,10/4/2022 19:47,TN0330100,C7,Charlie N,90J,Trespass Of Real Property,Part 2 Crimes,22-108446,3,Pending/Possible Leads,35.028817,,-85.156174,POINT (-85.156174 35.028817),4
2300 Brookwood Dr,Chattanooga,TN,37421,10/4/2022 20:30,TN0330100,C6,Charlie N,220,Burglary/Breaking And Entering,Part 1 Crimes,22-108839,3,Pending/Possible Leads,35.049645,,-85.169429,POINT (-85.169429 35.049645),6
7200 Shallowford Rd,Chattanooga,TN,37421,10/4/2022 20:58,TN0330100,C7,Charlie N,90J,Trespass Of Real Property,Part 2 Crimes,22-108480,3,Pending/Possible Leads,35.041017,,-85.155339,POINT (-85.155339 35.041017),4
3400 Campbell St,Chattanooga,TN,37406,10/4/2022 22:13,TN0330100,B1,Baker N,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,22-108493,3,Pending/Possible Leads,35.072908,,-85.242319,POINT (-85.242319 35.072908),9
700-99 Heritage Landing Dr,Chattanooga,TN,37405,10/4/2022 22:15,TN0330100,A4,Adam N,90J,Trespass Of Real Property,Part 2 Crimes,22-108539,2,Cleared by Arrest,35.059157,,-85.300128,POINT (-85.300128 35.059157),2
700-99 Heritage Landing Dr,Chattanooga,TN,37405,10/4/2022 22:15,TN0330100,A4,Adam N,90J,Trespass Of Real Property,Part 2 Crimes,22-108508,2,Cleared by Arrest,35.058883,,-85.301316,POINT (-85.301316 35.058883),2
900 Lawson St,Chattanooga,TN,37415,10/5/2022 0:00,TN0330100,A3,Adam N,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,22-109999,3,Pending/Possible Leads,35.102059,Stuart Heights,-85.279109,POINT (-85.279109 35.102059),2
7300 Shallowford Rd,Chattanooga,TN,37421,10/5/2022 1:27,TN0330100,C7,Charlie N,90J,Trespass Of Real Property,Part 2 Crimes,22-108545,3,Pending/Possible Leads,35.041291,,-85.153031,POINT (-85.153031 35.041291),4
3100 6th Ave,Chattanooga,TN,37407,10/5/2022 3:41,TN0330100,B8,Baker S,90J,Trespass Of Real Property,Part 2 Crimes,22-108572,2,Cleared by Arrest,35.007346,,-85.283012,POINT (-85.283012 35.007346),7
4300 Norcross Rd,Chattanooga,TN,37343,10/5/2022 7:45,TN0330100,A3,Adam N,23C,Shoplifting,Part 1 Crimes,22-108606,3,Pending/Possible Leads,35.121368,,-85.257414,POINT (-85.257414 35.121368),2
400 Cumberland St,Chattanooga,TN,37404,10/5/2022 10:30,TN0330100,B4,Baker N,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,22-108761,3,Pending/Possible Leads,35.045154,,-85.281262,POINT (-85.281262 35.045154),8
7400 Allemande Way,Chattanooga,TN,37421,10/5/2022 12:00,TN0330100,C9,Charlie N,26C,Impersonation,Part 1 Crimes,22-114686,3,Pending/Possible Leads,35.048774,,-85.144776,POINT (-85.144776 35.048774),4
2000 Gunbarrel Rd,Chattanooga,TN,37421,10/5/2022 12:19,TN0330100,C7,Charlie N,23C,Shoplifting,Part 1 Crimes,22-108685,2,Cleared by Arrest,35.034558,,-85.151315,POINT (-85.151315 35.034558),4
400 Greenway View Dr,Chattanooga,TN,37411,10/5/2022 12:30,TN0330100,C3,Charlie S,23C,Shoplifting,Part 1 Crimes,22-108705,2,Cleared by Arrest,35.008102,,-85.204552,POINT (-85.204552 35.008102),6
1900 S Watkins St,Chattanooga,TN,37404,10/5/2022 13:08,TN0330100,B6,Baker S,220,Burglary/Breaking And Entering,Part 1 Crimes,22-108696,3,Pending/Possible Leads,35.017566,Oak Grove,-85.275104,POINT (-85.275104 35.017566),9
3100 Broad St,Chattanooga,TN,37408,10/5/2022 13:10,TN0330100,A11,Adam S,23C,Shoplifting,Part 1 Crimes,22-108713,2,Cleared by Arrest,35.017947,,-85.321206,POINT (-85.321206 35.017947),7
1800 Gunbarrel Rd,Chattanooga,TN,37421,10/5/2022 13:33,TN0330100,C8,Charlie N,90J,Trespass Of Real Property,Part 2 Crimes,22-108724,3,Pending/Possible Leads,35.026432,,-85.15747,POINT (-85.15747 35.026432),4
200 Northgate Mall Dr,Chattanooga,TN,37415,10/5/2022 15:00,TN0330100,A2,Adam N,250,Forgery/Counterfeiting,Part 1 Crimes,22-109186,3,Pending/Possible Leads,35.129646,,-85.238933,POINT (-85.238933 35.129646),3
2400 6th Ave,Chattanooga,TN,37407,10/5/2022 15:05,TN0330100,B8,Baker S,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,22-108755,2,Cleared by Arrest,35.01425,,-85.279325,POINT (-85.279325 35.01425),8
2300 Shallowford Village Dr,Chattanooga,TN,37421,10/5/2022 16:00,TN0330100,C9,Charlie N,23C,Shoplifting,Part 1 Crimes,22-108783,3,Pending/Possible Leads,35.044125,,-85.155427,POINT (-85.155427 35.044125),6
500 Signal Mountain Rd,Chattanooga,TN,37405,10/5/2022 16:12,TN0330100,A5,Adam N,23C,Shoplifting,Part 1 Crimes,22-108786,3,Pending/Possible Leads,35.093878,,-85.331163,POINT (-85.331163 35.093878),1
7000 Mccutcheon Rd,Chattanooga,TN,37421,10/5/2022 16:35,TN0330100,C9,Charlie N,90J,Trespass Of Real Property,Part 2 Crimes,22-108841,2,Cleared by Arrest,35.045496,,-85.157118,POINT (-85.157118 35.045496),6
300 Frazier Ave,Chattanooga,TN,37405,10/5/2022 17:00,TN0330100,A4,Adam N,90J,Trespass Of Real Property,Part 2 Crimes,22-108810,3,Pending/Possible Leads,35.062919,Northside/Cherokee,-85.30653,POINT (-85.30653 35.062919),2
